,name,code,url,gasDayStart,gasInStorage,consumption,consumptionFull,injection,withdrawal,netWithdrawal,workingGasVolume,injectionCapacity,withdrawalCapacity,coveredCapacity,status,trend,full,info
0,EU,eu,eu,2023-05-11,707.1583,3776.4337,18.73,2634.8,366.8,-2268,1128.2534,12018.3,19585.34,100,E,0.2,62.68,[]
1,EU,eu,eu,2023-05-10,704.8884,3776.4337,18.67,2716.8,310.9,-2405.9,1128.2534,12009.47,19552.75,100,C,0.21,62.48,[]
2,EU,eu,eu,2023-05-09,702.4746,3776.4337,18.6,2752.97,333.3,-2419.7,1128.2534,12018.67,19944.37,100,C,0.21,62.26,[]
3,EU,eu,eu,2023-05-08,700.0516,3776.4337,18.54,3483.9,306.9,-3177,1128.3002,12018.95,19943.61,100,E,0.28,62.04,[]
4,EU,eu,eu,2023-05-07,696.8419,3776.4337,18.45,4283.63,168.9,-4114.7,1128.3002,12019.29,19942.72,100,C,0.36,61.76,[]
5,EU,eu,eu,2023-05-06,692.7183,3776.4337,18.34,4148.36,153.3,-3995.1,1128.3002,12019.58,19941.95,100,C,0.35,61.39,[]
6,EU,eu,eu,2023-05-05,688.7399,3776.4337,18.24,3636.73,251.8,-3384.9,1128.3002,12019.86,19941.21,100,C,0.3,61.04,[]
7,EU,eu,eu,2023-05-04,685.3307,3776.4337,18.15,3456.96,1099,-2358,1128.3002,12019.86,19941.23,100,C,0.21,60.74,[]
8,EU,eu,eu,2023-05-03,682.9538,3776.4337,18.08,2958.98,337.6,-2621.4,1128.0202,12010.24,19907.76,100,E,0.23,60.54,[]
9,EU,eu,eu,2023-05-02,680.3346,3776.4337,18.02,3009.01,479.9,-2529.1,1128.0202,12020.37,19940.14,100,E,0.22,60.31,[]
10,EU,eu,eu,2023-05-01,677.7908,3776.4337,17.95,4239.73,176,-4063.8,1127.8702,12015.34,19939.42,100,C,0.36,60.09,[]
11,EU,eu,eu,2023-04-30,673.7277,3776.4337,17.84,4420.19,100.7,-4319.5,1128.9842,11930.97,20006.33,100,E,0.38,59.68,[]
12,EU,eu,eu,2023-04-29,669.4088,3776.4337,17.73,4072.74,187.2,-3885.5,1130.0542,11931.21,20005.71,100,C,0.34,59.24,[]
13,EU,eu,eu,2023-04-28,665.5042,3776.4337,17.62,3031.04,386.4,-2644.6,1130.0542,11931.31,20005.43,100,C,0.23,58.89,[]
14,EU,eu,eu,2023-04-27,662.9027,3776.4337,17.55,2419.51,474.4,-1945.1,1130.0542,11930.4,20007.84,100,C,0.17,58.66,[]
15,EU,eu,eu,2023-04-26,660.9432,3776.4337,17.5,2052.71,947,-1105.7,1130.0542,11921.42,19975.64,100,C,0.1,58.49,[]
16,EU,eu,eu,2023-04-25,659.8381,3776.4337,17.47,2999.57,630.2,-2369.3,1130.0542,11930.59,20007.33,100,C,0.21,58.39,[]
17,EU,eu,eu,2023-04-24,657.3893,3776.4337,17.41,3440.36,269.5,-3170.9,1130.0542,11930.68,20007.11,100,C,0.28,58.17,[]
